Company,Email,Phone,MRR,Lifetime Value,Purchase Count,Status,Tags
Acme Systems,acme@example.com,+15550101,3200,28800,12,healthy,"saas,enterprise"
Beacon Logistics,beacon@example.com,+15550102,1750,14000,8,healthy,"logistics,renewal"
Cirrus Retail,cirrus@example.com,+15550103,900,7200,5,at_risk,"retail,low-engagement"
Delta Health,delta@example.com,+15550104,4100,49200,18,healthy,"healthcare,priority"
Ember Finance,ember@example.com,+15550105,2600,23400,9,disengaged,"finance,renewal"
Fathom Media,fathom@example.com,+15550106,650,3900,3,at_risk,"agency,onboarding"
Grove Commerce,grove@example.com,+15550107,1200,10800,7,healthy,"commerce,growth"
Helio Labs,helio@example.com,+15550108,3400,30600,11,healthy,"technology,enterprise"
Indigo Works,indigo@example.com,+15550109,800,5600,4,at_risk,"services,follow-up"
Juniper Foods,juniper@example.com,+15550110,1450,17400,10,healthy,"consumer,loyalty"
Keystone Cloud,keystone@example.com,+15550111,5000,60000,24,healthy,"saas,strategic"
Lumen Travel,lumen@example.com,+15550112,1100,8800,6,disengaged,"travel,seasonal"
Meridian Legal,meridian@example.com,+15550113,2200,22000,13,healthy,"professional-services,renewal"
Nexus Learning,nexus@example.com,+15550114,700,4200,3,at_risk,"education,onboarding"
Orbit Energy,orbit@example.com,+15550115,3800,45600,16,healthy,"energy,enterprise"
Pioneer Homes,pioneer@example.com,+15550116,950,7600,5,healthy,"real-estate,growth"
Quartz Studio,quartz@example.com,+15550117,550,2750,2,at_risk,"agency,low-engagement"
Ridge Manufacturing,ridge@example.com,+15550118,2900,34800,14,healthy,"manufacturing,priority"
Summit Events,summit@example.com,+15550119,1050,6300,4,disengaged,"events,seasonal"
Terra Market,terra@example.com,+15550120,1600,19200,11,healthy,"marketplace,retention"
